,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
count,71132.0,71130.0,70129.0,62042.0,62200.0,70129.0,70743.0,70741.0,69745.0,61666.0,61824.0,69745.0,58005.0,7613.0,7613.0,9157.0,9157.0,717.0,717.0,1182.0,1182.0,32862.0,32708.0,32708.0,32862.0,37463.0,37463.0,36226.0,35675.0,2982.0,2523.0,1649.0,2519.0,4376.0,2982.0,2523.0,1649.0,4376.0,61934.0,71698.0,67385.0,65589.0,64833.0,65219.0,65767.0,44924.0,66378.0,67205.0,52239.0,51522.0,33307.0,60818.0,68508.0,66356.0
mean,610303.7890260362,5109.051876845213,5131.414752712967,18392.442168208632,131.2583118971061,115.3168144562238,7184.535113085481,64.94434581077385,64.95041733457542,171.50522261862557,1.3756964285714237,1.206241752096909,1.017798465649505,1017.7581768028373,22.286803888086183,5117.363000982855,149.9634954679486,278.8416875871687,16.075854951185477,2745.4772402707295,99.90769204737734,37430.58064025318,4379020.253943989,159.5312802983984,1.4645833181181855,35922.585083949496,1.3965139470944448,0.08765637939601499,161.27620462508517,4131097.8293091883,3136837.0336900516,1282336.2359005457,181246.70186581978,113051.70223948812,6.482276995305173,4.929322235434013,2.4545785324439073,2255.222806215722,58.91504036555052,131621707.93892437,327.20641145651973,30.572236198144804,8.809579689354889,5.584385807815486,19133.93644044939,13.254454189297396,257.07820780988226,7.793192173199926,10.559858917666176,32.65051579906648,51.026668778330766,3.0377544805812113,73.13928139779082,0.7280754566280745
std,4307989.320242889,32188.369355423256,31962.503933646654,107178.6153369026,720.7465443289251,658.1484023537162,14237.04431948573,166.38757382249972,139.7490390656822,306.7933859314841,3.8643244243046984,2.77758533722797,0.3513865828189841,2801.536096168509,24.915697859873053,13832.481845814464,187.93422151965257,520.7644834333547,30.364094027443336,6050.731476135358,224.14648538159025,145944.80008288185,20325936.216604475,327.4139138665598,3.933573154464294,134167.5940976175,3.0304419853932876,0.09970727765658867,859.427891622666,19608660.883776084,12679176.015280547,4960781.307733893,744887.2096987821,508021.1798358331,13.371747781236088,9.19996664436039,5.846522975700049,4504.893238595798,22.148611672788732,699664830.5161116,1591.8492952020565,9.119317229368372,6.24600091182309,4.266415640164699,19682.020009444765,19.912092383102454,118.38047753698801,3.930537958396068,10.412899599277472,13.4625238472561,31.769077333403747,2.4679910875488296,7.550784274943252,0.15014622381762152
min,1.0,-46076.0,-1121.714,1.0,-1918.0,-232.143,0.001,-2153.437,-276.825,0.001,-76.445,-10.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-239172.0,1.0,0.0,-23.01,0.0,0.0,0.0,1.6,0.0,0.0,1.0,-50012.0,1.0,0.0,0.0,0.0,0.0,0.0,809.0,0.13699999999999998,15.1,1.1440000000000001,0.526,661.24,0.1,79.37,0.99,0.1,7.7,1.188,0.1,53.28,0.39399999999999996
25%,706.0,1.0,5.7139999999999995,35.0,0.0,0.0,137.19299999999998,0.126,0.975,5.452000000000001,0.0,0.0,0.86,20.0,3.108,81.0,17.217,5.968,1.287,36.605,7.462250000000001,1317.0,101385.5,8.289,0.105,1370.5,0.106,0.015,8.0,30721.5,27648.0,13551.0,2181.0,1121.0,0.54,0.5,0.24,267.0,44.44,2722291.0,36.253,22.2,3.4410000000000003,2.043,4466.5070000000005,0.5,167.295,5.29,1.9,21.6,20.859,1.3,67.44,0.602
50%,7577.0,57.0,69.143,237.5,2.0,1.0,1020.643,6.124,8.136000000000001,29.653000000000002,0.10300000000000001,0.11,1.03,132.0,12.061,516.0,67.865,40.538000000000004,3.8339999999999996,320.928,27.580999999999996,4943.5,476498.0,39.832499999999996,0.475,5074.0,0.491,0.051,18.9,212975.0,183628.0,72034.0,12364.0,5737.5,2.36,2.21,0.88,965.0,61.11,10139175.0,82.805,29.9,6.377999999999999,3.8710000000000004,12951.839,2.0,242.648,7.11,6.3,31.4,49.839,2.4,74.53,0.748
75%,82602.75,656.0,684.571,2245.75,16.0,12.0,6546.3745,54.51,61.746,180.9345,1.1159999999999999,0.991,1.17,590.0,34.661,2649.0,216.08700000000002,270.876,16.14,1609.1605,102.66275,19221.0,1998731.25,165.11950000000002,1.49575,20677.0,1.534,0.124,61.6,1132004.5,1013740.5,460625.0,71482.5,34814.0,5.8775,4.305,2.14,1892.0,76.85,37742157.0,208.354,39.1,14.312000000000001,9.167,27216.445,21.2,329.635,10.08,19.3,41.1,83.241,4.0,78.73,0.848
max,114442646.0,879905.0,738686.0,2538808.0,17845.0,14379.286,140930.564,8652.658000000001,2648.7729999999997,2180.447,218.329,63.14,6.74,23912.0,127.18299999999999,132474.0,1042.535,3866.755,197.308,51112.807,2656.9109999999996,2945871.0,332692519.0,3359.611,327.086,1855874.0,59.928999999999995,0.636,44258.7,249261783.0,150045928.0,53964427.0,12760999.0,6209486.0,109.25,69.8,39.74,54264.0,100.0,7794798729.0,20546.766,48.2,27.049,18.493,116935.6,77.6,724.4169999999999,30.53,44.0,78.1,98.999,13.8,86.75,0.9570000000000001
